"Macedonia, FYR"	MKD	GDP (current US$)	11362272838
Mali	MLI	GDP (current US$)	14004067516
Malta	MLT	GDP (current US$)	11188785253
Myanmar	MMR	GDP (current US$)	65574726566
Middle East & North Africa (excluding high income)	MNA	GDP (current US$)	1.57929E+12
Montenegro	MNE	GDP (current US$)	4587928884
Mongolia	MNG	GDP (current US$)	12226514746
Northern Mariana Islands	MNP	GDP (current US$)	836000000
Mozambique	MOZ	GDP (current US$)	16961127046
Mauritania	MRT	GDP (current US$)	5391475878
Mauritius	MUS	GDP (current US$)	12803445934
Malawi	MWI	GDP (current US$)	6054750320
Malaysia	MYS	GDP (current US$)	3.38069E+11
North America	NAC	GDP (current US$)	1.91918E+13
Namibia	NAM	GDP (current US$)	12853963143
New Caledonia	NCL	GDP (current US$)	
Niger	NER	GDP (current US$)	8245312137
Nigeria	NGA	GDP (current US$)	5.68499E+11
Nicaragua	NIC	GDP (current US$)	11880438824
Netherlands	NLD	GDP (current US$)	8.79635E+11
Norway	NOR	GDP (current US$)	4.9834E+11
Nepal	NPL	GDP (current US$)	20002968838
Nauru	NRU	GDP (current US$)	117020381.9
New Zealand	NZL	GDP (current US$)	2.00696E+11
OECD members	OED	GDP (current US$)	4.93188E+13
Oman	OMN	GDP (current US$)	81034395038
Other small states	OSS	GDP (current US$)	4.44405E+11
Pakistan	PAK	GDP (current US$)	2.44361E+11
Panama	PAN	GDP (current US$)	49165773100
Peru	PER	GDP (current US$)	2.0105E+11
Philippines	PHL	GDP (current US$)	2.84585E+11
Palau	PLW	GDP (current US$)	250900000
Papua New Guinea	PNG	GDP (current US$)	16928680397
Poland	POL	GDP (current US$)	5.45152E+11
Pre-demographic dividend	PRE	GDP (current US$)	1.49194E+12
Puerto Rico	PRI	GDP (current US$)	
"Korea, Dem. People’s Rep."	PRK	GDP (current US$)	
Portugal	PRT	GDP (current US$)	2.2963E+11
Paraguay	PRY	GDP (current US$)	30881166852
West Bank and Gaza	PSE	GDP (current US$)	12715600000
Pacific island small states	PSS	GDP (current US$)	8780810605
Post-demographic dividend	PST	GDP (current US$)	4.66852E+13
French Polynesia	PYF	GDP (current US$)	
Qatar	QAT	GDP (current US$)	2.06225E+11
Romania	ROU	GDP (current US$)	1.99493E+11
Russian Federation	RUS	GDP (current US$)	2.06366E+12
Rwanda	RWA	GDP (current US$)	8016288347
South Asia	SAS	GDP (current US$)	2.5771E+12
Saudi Arabia	SAU	GDP (current US$)	7.5635E+11
Sudan	SDN	GDP (current US$)	82151588419
Senegal	SEN	GDP (current US$)	15308965399
Singapore	SGP	GDP (current US$)	3.08143E+11
Solomon Islands	SLB	GDP (current US$)	1156563123
Sierra Leone	SLE	GDP (current US$)	5015157816
El Salvador	SLV	GDP (current US$)	25054230000
San Marino	SMR	GDP (current US$)	
Somalia	SOM	GDP (current US$)	5647000000
Serbia	SRB	GDP (current US$)	44210806366
Sub-Saharan Africa (excluding high income)	SSA	GDP (current US$)	1.77364E+12
South Sudan	SSD	GDP (current US$)	13282084034
